10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
5	45	40	55	52
4	45	49	32	45
3	47	40	29	42
2	47	46	27	36
5	43	40	25	34
4	44	47	10	33
10	46	40	26	26
2	43	48	22	22
2	47	38	17	14
3	44	46	15	53
3	44	40	9	42
3	47	48	32	41
2	46	40	28	35
4	44	46	27	33
2	45	40	24	28
2	45	49	10	28
2	45	42	31	22
2	45	46	26	13
2	44	41	24	4
2	46	46	22	44
3	46	43	10	40
6	46	48	32	38
1	44	43	28	37
2	44	48	25	35
3	44	44	24	33
3	45	50	9	25
3	44	44	34	14
3	47	48	31	4
1	45	45	29	45
3	46	48	29	41
2	46	47	10	40
4	46	45	30	38
3	44	43	25	36
1	44	46	22	32
3	44	42	21	26
5	46	47	10	13
3	44	46	33	6
2	45	49	25	43
2	47	47	23	38
4	46	45	21	37
3	47	43	9	35
3	43	48	32	32
3	44	47	28	29
5	44	45	27	24
5	44	42	25	13
5	44	47	9	5
4	44	48	31	51
3	47	47	27	47
1	44	46	27	46
3	46	44	25	45
5	43	39	9	43
4	46	46	31	39
2	45	44	27	31
3	45	46	22	20
3	45	43	20	10
3	45	46	6	45
4	44	45	12	40
1	45	47	59	36
1	45	46	58	35
5	43	49	54	34
3	46	48	52	31
3	46	46	13	24
2	46	46	9	19
3	44	45	6	10
2	46	39	4	19
3	45	49	48	15
3	46	45	14	11
2	45	47	10	34
2	43	42	8	32
1	47	46	5	29
5	44	38	49	19
3	45	49	14	14
4	44	43	11	66
9	45	47	9	47
2	45	40	7	46
4	44	46	48	41
4	47	39	14	40
2	44	47	6	39
4	46	41	53	38
2	45	46	49	35
1	45	42	45	34
4	45	47	17	31
2	44	36	13	42
3	47	48	9	40
3	44	39	6	36
2	47	47	49	34
1	44	40	17	30
4	46	48	14	29
3	47	37	11	28
2	44	46	8	26
2	47	36	48	24
3	46	49	18	19
4	46	34	14	43
4	46	48	12	40
2	45	39	9	36
3	44	47	47	32
2	46	41	20	29
6	45	46	17	26
5	44	38	14	25
2	47	48	8	22
4	45	34	48	20
5	45	48	16	18
1	45	36	14	42
1	45	16	11	36
3	43	4	7	32
4	44	5	48	28
4	46	47	19	26
2	46	15	16	24
2	47	13	13	20
2	46	26	12	18
6	45	24	48	15
3	45	36	22	12
3	45	36	20	37
3	44	51	17	36
4	47	41	16	31
4	44	47	48	28
2	45	40	23	23
2	45	46	19	20
2	45	41	17	18
2	48	47	14	14
4	44	39	48	12
4	47	47	25	7
2	46	39	21	49
2	46	47	17	46
3	46	38	12	45
4	46	46	47	43
3	47	39	24	41
1	43	44	18	39
1	45	36	16	35
2	44	48	14	33
